1 value means positive comments and 0 value means negative comments,,,,,,,,,"whenever use this dataset refer : Singh, S. K., & Sachan, M. K. (2021, November). Acquisition and Development of Code-Mixed Corpus for Sentiment Analysis of Resource-Scarce Languages. In 2021 International Conference on Disruptive Technologies for Multi-Disciplinary Research and Applications (CENTCON) (Vol. 1, pp. 70-74). IEEE.",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
1,it will help to common man,,,,,,,,,,,,,,,,,,,,,
1,You say that gst is good for us,,,,,,,,,,,,,,,,,,,,,
1,Your every decisions are appreciable.,,,,,,,,,,,,,,,,,,,,,
1,A right decission at right time it will solve most of the problem of small traders and will indirectly contribute in making India a strong country  congrats  Siri and the entire team,,,,,,,,,,,,,,,,,,,,,
1,"A very good and much awaited to move, which cud have done little earlier, I feel before the demonetisation and GST after effect hitting badly the lower classes of people.Now lets make sure that these benefits are reaching to the needy people.All should work towards that.",,,,,,,,,,,,,,,,,,,,,
1,A very good step...,,,,,,,,,,,,,,,,,,,,,
1,A welcome move from govment working day ND night for betterment  for country ...congrats PM FM ND core team jai hind ....at least har indian itna apne liye bhi kare desh thora to aage jarure bade ga ..,,,,,,,,,,,,,,,,,,,,,
1,A welcome move.GST should be implemented  so that it propels economic growth without being a burdern on the common people and on the honest people in their professions and occupations.,,,,,,,,,,,,,,,,,,,,,
1,all indians r with u sir.. you move on.. let duffer like Rahul Gandhi bark..,,,,,,,,,,,,,,,,,,,,,
1,"Although, we are further hoping for a simple and easy way of getting its implementation. We entire people wish all things come in better way in normalisation and especially taxes and tariffs be implemented in most correct way...!!        Also, I think in terms of development of a nation we don't needs to makes so many schemes and policies and allocation of funds on them might be just a lost.!!!  I wish we should makes a strategy a policy a scheme right to the point of development and get involved on it. No more confusion no more waste of money.!!  Like China.!   Eventhough, we have a world's lenthest constitution but see....what is the use of it and its good impact till a date??  Moreover, India should be in 1st position....!!!   So, we should think of it first...!!",,,,,,,,,,,,,,,,,,,,,
1,Amazed by the fact that there is action taken to feedback given by we the common man !,,,,,,,,,,,,,,,,,,,,,
1,appreciate responsive and responsible governance.,,,,,,,,,,,,,,,,,,,,,
1,Atleast some measures have been taken ...thanks modiji...,,,,,,,,,,,,,,,,,,,,,
1,Before pointing out wehave to support in a positive way ...I support GST why because every transaction can be traced ...But taxes are more hotels n AGRICULTURAL related ...because 5% taxes on branded goods ...So now slow movement of all the agri commodities ...please verify resolve the issue ...sir ...,,,,,,,,,,,,,,,,,,,,,
1,Best FM India history,,,,,,,,,,,,,,,,,,,,,
1,Best PM In the World Narendra Modi. (Y),,,,,,,,,,,,,,,,,,,,,
1,"Big Country, Big issues.. It will take time, bt at least someone is trying to get the job done.",,,,,,,,,,,,,,,,,,,,,
1,"Common people must get benefit from all sorts, from these procedures, hope this will work efficient for all sectors and all varieties of sections people of the society in future......!!!!!!!",,,,,,,,,,,,,,,,,,,,,
1,Congrats to your team India.,,,,,,,,,,,,,,,,,,,,,
1,"Congratts for the new ammendments made.  Its good reform and revolution but ...wud b good if its a bit more simple and uniform... , so that ppl understand it exactly and do accurately and on time.  Regards - Naren Agarwal.",,,,,,,,,,,,,,,,,,,,,
1,Congratulation to PM n entire family of GST.,,,,,,,,,,,,,,,,,,,,,
1,Congratulations,,,,,,,,,,,,,,,,,,,,,
1,Congratulations Sir,,,,,,,,,,,,,,,,,,,,,
1,Congratulations sir,,,,,,,,,,,,,,,,,,,,,
1,Congratulations sir Ji,,,,,,,,,,,,,,,,,,,,,
1,Congratulations to all small n medium entrepreneurs..  Sabka saath sabka vikas..  Jai ho Modi government Ki.  Vandematram..,,,,,,,,,,,,,,,,,,,,,
1,Congratulations to...my PM,,,,,,,,,,,,,,,,,,,,,
1,Congratulations...,,,,,,,,,,,,,,,,,,,,,
1,"Dear Modiji,  don't worry about detractors who always hate growth because they don't want our country to grow,  you have all the support of citizen who cares for development of our country",,,,,,,,,,,,,,,,,,,,,
1,"Dear Modiji. I am your strong follower since 2002. I highly appreciate the efforts and challenging initiatives you take to develop India. The lobby working against your goverment is trying hard to defame you. We know it will take a few years to streamline and stabilise things as it was in a worst stage when you took charge as PM. Some immediate measure that will reduce the cost of living of poor, low and medium income group is expected from the government.  After implementing GST the prices of goods and services should have fallen but it increased. The companies supplying goods have added the new tax rate with the MRP of goods which was already inclusive of tax. They should have deducted the old tax from MRP and then add the new GST rate. That's how the prices of many goods rised instead of falling. For example a particular brand of rice which costed Rs.75 is now Rs.86 per kg. Is there any RTI to know how they increased the price with so much difference. Same case is with many necessary commodities.",,,,,,,,,,,,,,,,,,,,,
1,Dear Sir !!  We are with You !   that's the Long and short of it !!,,,,,,,,,,,,,,,,,,,,,
1,"Dear Sir,  Due to GST, small venders whose income is even less than 5 lakhs yearly are refused by some  companies to provide services without GST number, Please instruction may given to them for appropriate steps",,,,,,,,,,,,,,,,,,,,,
1,"Dear Sir, i think the steps are welcome. However i do feel that composition scheme should also be extended to service providers. That would help many small service providers in terms of GST compliance requirments. Request you to kindly consider this.",,,,,,,,,,,,,,,,,,,,,
1,"Dear,PM People looking Good Survival Tax.Remove all the tax affecting common people.",,,,,,,,,,,,,,,,,,,,,
1,Deepak jha 60yrs of corruption need to cleaned and Don t worry about economy when our economy sustained biggest scams of the world so now it will grow and shine,,,,,,,,,,,,,,,,,,,,,
1,"Demonetization and GST BOTH Courageous DECISION taken by you. Every Indians are with u, don't listen what opposition says.",,,,,,,,,,,,,,,,,,,,,
1,"Demonetization,GST implementation is first time implementation. Definitely there will be    problems while implementing and need to take feedback ,corrective actions should follow.that is what govt is doing.Narendra Modiji have the courage to do the good things.We should appreciate that.Dont expect results immediately.It will take time and good for country.",,,,,,,,,,,,,,,,,,,,,
1,Encouraging step!!,,,,,,,,,,,,,,,,,,,,,
1,Every step you take modiji I believe and m with you always... U r my inspiration,,,,,,,,,,,,,,,,,,,,,
1,"Everything fine, problem is elsewhere .",,,,,,,,,,,,,,,,,,,,,
1,Excellency P.M. sir you are great. Thanks for giving great relief to the people of this country. Regards Thanks,,,,,,,,,,,,,,,,,,,,,
1,Excellent sir,,,,,,,,,,,,,,,,,,,,,
1,Excellent,,,,,,,,,,,,,,,,,,,,,
1,Excellent,,,,,,,,,,,,,,,,,,,,,
1,Excellent for small and medium businesses communities  .  Thanks sahab  .,,,,,,,,,,,,,,,,,,,,,
1,Excellent work sir #transforming India Jaihind,,,,,,,,,,,,,,,,,,,,,
1,Extremely Proud Of U,,,,,,,,,,,,,,,,,,,,,
1,Feedback is taken and some action is taken but there should be only one slab.  Imdeiate action is good.,,,,,,,,,,,,,,,,,,,,,
1,good,,,,,,,,,,,,,,,,,,,,,
1,Good,,,,,,,,,,,,,,,,,,,,,
1,Good,,,,,,,,,,,,,,,,,,,,,
1,Good,,,,,,,,,,,,,,,,,,,,,
1,Good ...good very good ..GST...,,,,,,,,,,,,,,,,,,,,,
1,Good and much needed measures,,,,,,,,,,,,,,,,,,,,,
1,good change,,,,,,,,,,,,,,,,,,,,,
1,Good decision,,,,,,,,,,,,,,,,,,,,,
1,Good decision prime ministers Sree Narendra modi ji and Couratulations FM ministers Sree Arun jaitely Sir welcome to GST Ek desh Ek tax Good government modi government Sabka Sath Sabka Vikas Ek Bharat Shresht Bharat,,,,,,,,,,,,,,,,,,,,,
1,Good decision thank you..!!!!!!,,,,,,,,,,,,,,,,,,,,,
1,Good decision welcome,,,,,,,,,,,,,,,,,,,,,
1,Good decision. Thanks to the coming Gujarat state assembly elections!  Hope that now trader's from that state would happy. One more request please reduce the tax of hotel food. Please Modiji please,,,,,,,,,,,,,,,,,,,,,
1,Good dicision.. 👍,,,,,,,,,,,,,,,,,,,,,
1,Good efforts.,,,,,,,,,,,,,,,,,,,,,
1,Good example for country like srilanka. Txs & God bless u.,,,,,,,,,,,,,,,,,,,,,
1,Good for India.,,,,,,,,,,,,,,,,,,,,,
1,Good initiative but it more effective when petrol and diesel will comes under GST. as result the product rate wl b decrease.     We all have hope on honourable PM. I m proud of you as u r our PM.,,,,,,,,,,,,,,,,,,,,,
1,Good job,,,,,,,,,,,,,,,,,,,,,
1,Good job,,,,,,,,,,,,,,,,,,,,,
1,Good job Mr. P.M modi Ji...,,,,,,,,,,,,,,,,,,,,,
1,Good job...,,,,,,,,,,,,,,,,,,,,,
1,Good move,,,,,,,,,,,,,,,,,,,,,
1,Good move,,,,,,,,,,,,,,,,,,,,,
1,Good move Sir !,,,,,,,,,,,,,,,,,,,,,
1,Good move sir...go ahead...,,,,,,,,,,,,,,,,,,,,,
1,Good news sir..,,,,,,,,,,,,,,,,,,,,,
1,Good reduched GST rate.,,,,,,,,,,,,,,,,,,,,,
1,Good Relief to small traders from Cost & Complinace Point of View..  Good Job !!!,,,,,,,,,,,,,,,,,,,,,
1,Good Service Tax system is good tax system implemented by NDA government.This system help small business man.There  is some difficulties facing now is only short term.Now our country become pure after demonetization.I congratulate FM Arun Jaitley & his team for engaging with various stakeholders for extensive feedback which led to today's recommendations.,,,,,,,,,,,,,,,,,,,,,
1,GOOD sir,,,,,,,,,,,,,,,,,,,,,
1,good sir,,,,,,,,,,,,,,,,,,,,,
1,Good sir,,,,,,,,,,,,,,,,,,,,,
1,Good step,,,,,,,,,,,,,,,,,,,,,
1,Good step by GOI today,,,,,,,,,,,,,,,,,,,,,
1,Good thinking sir..i like it,,,,,,,,,,,,,,,,,,,,,
1,"Good to c government is working high on better new tax system and sharing with people. Before v don't know what is happening in government. I think they reduced more tax on several item including hotel bills to 12% . And hotels here in Chennai, seeing every Saturday and Sunday heavy rush . People r waiting hours for food. Please note that all middle class family only. For our health better home food.",,,,,,,,,,,,,,,,,,,,,
1,Good to see from last 3 years..rotten situation we all lived 70 years present govt wirking grass root level to clean up all unwanted things to next level,,,,,,,,,,,,,,,,,,,,,
1,Good to see timely review of the new reforms.,,,,,,,,,,,,,,,,,,,,,
1,Good work .... Provide some benefits for middle class too ...😃,,,,,,,,,,,,,,,,,,,,,
1,Good work BJP & Modi Govt,,,,,,,,,,,,,,,,,,,,,
1,Good work but please see for the demand for Gorkhaland. It should be solved first.,,,,,,,,,,,,,,,,,,,,,
1,Good work sir keep it up continue,,,,,,,,,,,,,,,,,,,,,
1,Good work sir u & FM minister Jaitely Ji,,,,,,,,,,,,,,,,,,,,,
1,Great achievement. Now so called politician mouth shut-up.,,,,,,,,,,,,,,,,,,,,,
1,Great deal Sir. Honest people were happy then also and now also. Only few people were troubled and you have listened to their grievances. Thank you Sir Prime minister Ji.,,,,,,,,,,,,,,,,,,,,,
1,"Great efforts by you and Team from Finance ministry.  Congrats Sir.  But common man the end consumer do feel betrayed.He is not sure that Shop keepers. Collecting GST from him is really filling the GST with Government.  Is it possible to establish Aadhar card link bank account refund of part of GST paid by end consumer to his account.  We will then know shops,restaurants who are cheaters.",,,,,,,,,,,,,,,,,,,,,
1,Great Indian ModiJi,,,,,,,,,,,,,,,,,,,,,
1,Great move...appreciated,,,,,,,,,,,,,,,,,,,,,
1,Great priminister india,,,,,,,,,,,,,,,,,,,,,
1,Great sir,,,,,,,,,,,,,,,,,,,,,
1,Great sir ji,,,,,,,,,,,,,,,,,,,,,
1,Great sir jiiii,,,,,,,,,,,,,,,,,,,,,
1,Great sir will expect more modifications in GST,,,,,,,,,,,,,,,,,,,,,
1,Great step sir,,,,,,,,,,,,,,,,,,,,,
1,Great steps taken by govt of India,,,,,,,,,,,,,,,,,,,,,
1,Grt dicision by gov... Their is some work needed yet but it's a good start..,,,,,,,,,,,,,,,,,,,,,
1,GST has been designed for India's economic growth,,,,,,,,,,,,,,,,,,,,,
1,GST IS THE BEST FOR US SO WE SHOULD ALWAYS FOLLOW US .,,,,,,,,,,,,,,,,,,,,,
1,GST is the right way to empowering India and to be proactive to lower class peoples,,,,,,,,,,,,,,,,,,,,,
1,GST is very gud...even the World Bank has appreciated the movement..in the beginning thr will b problems..it requires sum time to get stabilized.,,,,,,,,,,,,,,,,,,,,,
1,"GST will be game changer for Indian economy in near future.East or west,Namo is the best",,,,,,,,,,,,,,,,,,,,,
1,GST will boost our economy and thanks you sir for making necessary changes in the GST regime it will be a great needed help for small and medium enterprises,,,,,,,,,,,,,,,,,,,,,
1,"Honorable Prime Minister, it's great that you are making business easy for the people.",,,,,,,,,,,,,,,,,,,,,
1,"Honourable PM Sir, salute to your imagination. The new nomenclature is better than the earlier one. Good to call GST...'Good and Simple Tax'",,,,,,,,,,,,,,,,,,,,,
1,Hope will understand and support and your team will be more transparent and balanced,,,,,,,,,,,,,,,,,,,,,
1,Hope you have realised that you have to work for the welfare of the people including business community also and that they too need to live a normal life. You are treating everyone like thieves and harassing all the citizens by issuing statements from fm that they will be punished for any lapse.Now all citizens are doubtful of themselves due to common psychological status.,,,,,,,,,,,,,,,,,,,,,
1,I agree,,,,,,,,,,,,,,,,,,,,,
1,I agree sir,,,,,,,,,,,,,,,,,,,,,
1,I also congrats fm for this implementation,,,,,,,,,,,,,,,,,,,,,
1,I always support to only for bjp = bhartiya janta party,,,,,,,,,,,,,,,,,,,,,
1,i alwyz support our pm......i slute my country pm...thanku pm....,,,,,,,,,,,,,,,,,,,,,
1,"I am a die hard fan of yours. I know you are most honest politician. I will give my support till my end of my life. But as a Bharatiya, I want to know, what is the necessity of higher tax slab, penalties for low balance in account. You should first think about the common man. Not all common men or business men are corrupt. Kindly arrange an open discussion with common people and listen their problems as well as their suggestion. Kindly Do Not kill our last hope.",,,,,,,,,,,,,,,,,,,,,
1,"I am glad that all necessary steps taken to ease business. I do realise that gst being a new tax system may create initial problems but if a govt is proactive,sincere and public friendly all problems can be sorted out.So have you done.I congratulate you sir,l know there are many who can only criticise .A person who takes risk often has to face criticism, in a non tax compliant society reforms like such will often be criticized. Never mind being a businessman, I am with you coz I know that sooner this temporary problem will come to an end.",,,,,,,,,,,,,,,,,,,,,
1,I appreciate bro for speaking this truth loudly,,,,,,,,,,,,,,,,,,,,,
1,I congrats you to have switch on to GST. Please bring petroleum products also under GST and most likely the rate can be maximum of 30% specially for Petroleum products only.,,,,,,,,,,,,,,,,,,,,,
1,I congratz those still trust this man...,,,,,,,,,,,,,,,,,,,,,
1,"it is the only government who thinks for people and their feedback.as a citizen , i salute bjp.....",,,,,,,,,,,,,,,,,,,,,
1,It may take years to fall in line but it's very important and we should continue with such reforms!!,,,,,,,,,,,,,,,,,,,,,
1,"It seems so good to have such a responsive govt.now my decision(11 crore others') to vote for you appears such true. will do so when 2019 comes. keep taking such bold decisions as gst,demonit.,surgical strike,doklam",,,,,,,,,,,,,,,,,,,,,
1,It shows that govt is not functioning in autocratic way it is a govt for the people i salute the sensitivity of the govt jai hind,,,,,,,,,,,,,,,,,,,,,
1,It's a good  decision. Govt.  responding as per the feedback it got from society,,,,,,,,,,,,,,,,,,,,,
1,It's good changes for small bussinessman.,,,,,,,,,,,,,,,,,,,,,
1,It's great.,,,,,,,,,,,,,,,,,,,,,
1,"Keep going,,,",,,,,,,,,,,,,,,,,,,,,
1,Let's hope for betterment.,,,,,,,,,,,,,,,,,,,,,
1,Love you modi Sir..,,,,,,,,,,,,,,,,,,,,,
1,Lowering  G.S. T. rates on about some commodieties is welcome .The point is whether the benefits will pass on to the consumers .The govt has to keep a watch on that.Exporters and business class will beneft.,,,,,,,,,,,,,,,,,,,,,
1,Luv u sir,,,,,,,,,,,,,,,,,,,,,
1,May be helpful to lot of small traders... Please do something to reduce 28% GST rate on Aluminum Windows,,,,,,,,,,,,,,,,,,,,,
1,Modi Is Great,,,,,,,,,,,,,,,,,,,,,
1,"Namaste Sir, your government doing excellent job, after Note Ban the public now realized the value of the money, we need to change the attitude of tax invader are hero of the country.",,,,,,,,,,,,,,,,,,,,,
1,Nice,,,,,,,,,,,,,,,,,,,,,
1,"Nice Essay, hope You'll get the first prize😂",,,,,,,,,,,,,,,,,,,,,
1,Nice job,,,,,,,,,,,,,,,,,,,,,
1,Nice one,,,,,,,,,,,,,,,,,,,,,
1,Nice prime minister of India..... He is a tiger of India,,,,,,,,,,,,,,,,,,,,,
1,Nice sir,,,,,,,,,,,,,,,,,,,,,
1,Nice sir,,,,,,,,,,,,,,,,,,,,,
1,Nice sir,,,,,,,,,,,,,,,,,,,,,
1,Nice step...hope more steps for easing more complexities in various gst...,,,,,,,,,,,,,,,,,,,,,
1,Nice to welcome sir,,,,,,,,,,,,,,,,,,,,,
1,nice work.,,,,,,,,,,,,,,,,,,,,,
1,Oh great Mr.Modi have Congratuating to great finance minister Mr. Jaitly for his outstanding GST refrorm..And 2019 public will congrats you both ..how badly you both have distroy our economy.,,,,,,,,,,,,,,,,,,,,,
1,"People likes you because you  are doing good  things make it proper way to do in every state then people never forget you forever,  a relief to some people to do business ,save INDIA Narendra Modi GARU.",,,,,,,,,,,,,,,,,,,,,
1,Postive changes in GST..,,,,,,,,,,,,,,,,,,,,,
1,Pranam PM Jii.  Thank you very much Sir for Considering feedback and providing Great relief to common man and MSME sector.it can happen under your Leadership only.,,,,,,,,,,,,,,,,,,,,,
1,"Proud of our honest, hard working PM. He is leader of the masses.",,,,,,,,,,,,,,,,,,,,,
1,Proud of you sir,,,,,,,,,,,,,,,,,,,,,
1,"Respected modi sir,    Every india must feel very proud tht they have great pm like u. Who has a decision  power who has a daring to do great work. Bt one request to u sir... pls give atleast motivation words to banker.. gov. All success yojna like jandhan, pmjby, pmsvj, mundra loan adhar seeding all success becoz of bankers. Specialy state bank of india... i feel proud to say i m small part of sbi. Great work sir for country.. we just need motivation frm ur side. Sabka sath sabka vikas wc to gujarat",,,,,,,,,,,,,,,,,,,,,
1,Right,,,,,,,,,,,,,,,,,,,,,
1,Right decision   Only namo,,,,,,,,,,,,,,,,,,,,,
1,"Right decision at right time, Thanks.",,,,,,,,,,,,,,,,,,,,,
1,right step relief  for small and medium  business  an welcome move thank u Prime Minister Sir.,,,,,,,,,,,,,,,,,,,,,
1,Sir .we welcome the changes made by Gst council it will help to small & middle business classes but it will show the immaturity of FM and Gst members as they are not able to take good decision at once .day to day changes may create more trouble so I request pls make changes with full preparations otherwise it is joke.,,,,,,,,,,,,,,,,,,,,,
1,"Sir a good move. You would observe, the opposition rhetoric has galvanised branches of your govt to act fast. Sometimes critics can galvanise the lazy or the cussed.",,,,,,,,,,,,,,,,,,,,,
1,Sir actually it's a gud move dat gvt iz reacting and reforming d rules as per public requests....Bt seriously d major issue gng on in India iz hike in petrol n diesel price....As we all know dat tax generated fa petrol r diesel by central gvt regime iz nearly 23% n state gvt regime iz abt 32% so totally v r imposing 55% tax fa des resources.... If in case efforts r made to bring petrol n diesel under GST regime den d highest value of GST fixed under GST COUNCIL iz 28% so probably dis can bring down d price of petrol n diesel to nearly half of d prices as of nw....Hope so major issues wil b cleared as sn as poss,,,,,,,,,,,,,,,,,,,,,
1,Sir happy to see how government is taking care of issues and trying to solve it. It's also the infancy period for some sectors but optimistic route taken by government bow to this courageous leader,,,,,,,,,,,,,,,,,,,,,
1,Sir I am proud of your visionary leadership.,,,,,,,,,,,,,,,,,,,,,
1,Sir I must want to appreciate your commendable efforts.,,,,,,,,,,,,,,,,,,,,,
1,"Sir keep on doing good work to put the country on right tack,  we the citizen of India r with u. Don't worry about few sadists who can't see any change. Pity on them.",,,,,,,,,,,,,,,,,,,,,
1,"Sir no doubt you are doing a brilliant job.. instead of giving different taxes to state and central govt, a unified tax system is far better.. and as ease of doing business gets more better thus more companies wld start investing which wld create variety of jobs in future.. but expecting that to happen early..",,,,,,,,,,,,,,,,,,,,,
1,Thank u sir,,,,,,,,,,,,,,,,,,,,,
1,Thank u sir ji,,,,,,,,,,,,,,,,,,,,,
1,Thank you for being a most sensitive and pro people oriented governance.,,,,,,,,,,,,,,,,,,,,,
1,Thank you Prime Minister Narendra Modi Ji. We are always with you.,,,,,,,,,,,,,,,,,,,,,
1,Thank you sir,,,,,,,,,,,,,,,,,,,,,
1,Thank you sir for giving a relief in GSt taxes for many businessmen,,,,,,,,,,,,,,,,,,,,,
1,Thank you sir for implementing such revolutionary and historical reforms which would transform not only the economy of India but also of the world as whole .,,,,,,,,,,,,,,,,,,,,,
1,Thank you sir for these changes. For the people govt.🙏👏👏👏,,,,,,,,,,,,,,,,,,,,,
1,Thank you sir!! Glad that this government is responding to public woe and not deaf unlike UPA. Hope the same goodwill will continue for other core issues as well,,,,,,,,,,,,,,,,,,,,,
1,"Thank you sir. Belated,but right move, slashing rates on many items drastically.However,need to consider many more items,especially life savings drugs, healthcare,school children's accessories etc.",,,,,,,,,,,,,,,,,,,,,
1,Thank you very much for making GST more simple n helpful to the business community as well as general public.Best wishes for future too.,,,,,,,,,,,,,,,,,,,,,
1,Thank You very much sir for considering feedback and providing great relief to common man and MSME sector.It can happen under your leadership only.,,,,,,,,,,,,,,,,,,,,,
1,Thanks,,,,,,,,,,,,,,,,,,,,,
1,Thanks alot PM sir ! Right decision at right time.... it will make change for sure..,,,,,,,,,,,,,,,,,,,,,
1,thanks for gst,,,,,,,,,,,,,,,,,,,,,
1,Thanks for realising that there is some serious issues with GST....and our government always positive response about it,,,,,,,,,,,,,,,,,,,,,
1,Thanks for sharing this nice post and lovely views,,,,,,,,,,,,,,,,,,,,,
1,Thanks for taking care of small manufacturers unit and exporters,,,,,,,,,,,,,,,,,,,,,
1,Thanks for the timely intervention.,,,,,,,,,,,,,,,,,,,,,
1,Thanks for this,,,,,,,,,,,,,,,,,,,,,
1,Thanks god they thought of  public benafit,,,,,,,,,,,,,,,,,,,,,
1,Thanks namo,,,,,,,,,,,,,,,,,,,,,
1,Thanks PM sir.,,,,,,,,,,,,,,,,,,,,,
1,Thanks prime minister,,,,,,,,,,,,,,,,,,,,,
1,Thanks sir,,,,,,,,,,,,,,,,,,,,,
1,"Thanks, good decision.",,,,,,,,,,,,,,,,,,,,,
1,"Thanks, Prime Minister has reduced the rate for his GST, it is good and good for the country too.",,,,,,,,,,,,,,,,,,,,,
1,Thats great effert by Govt need more support in future,,,,,,,,,,,,,,,,,,,,,
1,This is a good decision. Sir,,,,,,,,,,,,,,,,,,,,,
1,"This is good governance, I appreciate u and Finance Minister for taking the stake holders into confidence and creating an atmosphere of ease especially for the small and medium enterprise",,,,,,,,,,,,,,,,,,,,,
1,This is nice update,,,,,,,,,,,,,,,,,,,,,
1,This is right decision for coming generation. And future,,,,,,,,,,,,,,,,,,,,,
1,This step is indicative of the Government's sensitivity towards the citizens of the country.,,,,,,,,,,,,,,,,,,,,,
1,Thnx modi ji,,,,,,,,,,,,,,,,,,,,,
1,Thnxx you,,,,,,,,,,,,,,,,,,,,,
1,Those are good moves on simplification of GST and lot many people concerned will have great sigh of relief I suppose 😃👍,,,,,,,,,,,,,,,,,,,,,
1,Tnq sir...we support you.proud to be on indian...jai hind👏👏👏👏,,,,,,,,,,,,,,,,,,,,,
1,today a very effective decision taken for all.i salute bjp.,,,,,,,,,,,,,,,,,,,,,
1,U and ur team is great.,,,,,,,,,,,,,,,,,,,,,
1,U r da best,,,,,,,,,,,,,,,,,,,,,
1,Useful design sir,,,,,,,,,,,,,,,,,,,,,
1,V  Good,,,,,,,,,,,,,,,,,,,,,
1,V.Nice,,,,,,,,,,,,,,,,,,,,,
1,Very aggressive steps to balance present economy by BJP Government,,,,,,,,,,,,,,,,,,,,,
1,Very all we peoples will be on raod  good luck bjp,,,,,,,,,,,,,,,,,,,,,
1,Very good decision by #GSTCouncil. RCM provision should be scrapped even after 31st March. And 28% gst shud be lower at 24% or remove permanently.,,,,,,,,,,,,,,,,,,,,,
1,very good decision honourable prime minister,,,,,,,,,,,,,,,,,,,,,
1,Very good modi Sir 😊😊👍👌👌👌,,,,,,,,,,,,,,,,,,,,,
1,Very good move.,,,,,,,,,,,,,,,,,,,,,
1,Very good move💕,,,,,,,,,,,,,,,,,,,,,
1,Very nice definition of GST.We have to do a lot in this direction. We need a team of  professional economic expertise to help finance ministery. For future development we need special team for each sector so that each sector perform up to the mark in time.,,,,,,,,,,,,,,,,,,,,,
1,"Very nice, jai ho",,,,,,,,,,,,,,,,,,,,,
1,very nice. All the best sir.,,,,,,,,,,,,,,,,,,,,,
1,Very Very good decision sir,,,,,,,,,,,,,,,,,,,,,
1,We are always with you sir!!,,,,,,,,,,,,,,,,,,,,,
1,"WE ARE VERY THANKFUL & GRATEFUL TO OUR HON'BLE PRIME MINISTER & HIS CABINET COLLEAGUES FOR THE INITIATIVE STEP FOR ADOPTING A PEOPLE FRIENDLY TAX REFORMS &  MAKING GST MORE SIMPLER, WHICH IS EXPECTED TO BE FAVORABLE TO SMALL & MEDIUM BUSINESS HOUSES, GENERATE EMOYMEMENT OPPOUNITIES, REVIVAL OF EXISTING PARALYSED SMEs, GROWTH TO PRODUCTIVITY GEAR UP NATIONAL ECONOMY.",,,,,,,,,,,,,,,,,,,,,
1,We hope so..all the best,,,,,,,,,,,,,,,,,,,,,
1,we r always with u sir..!,,,,,,,,,,,,,,,,,,,,,
1,We r expecting same for petroleum products,,,,,,,,,,,,,,,,,,,,,
1,We r with u modiji 😊😊😊    Massive tax reform     Initial hick ups r bound to happen,,,,,,,,,,,,,,,,,,,,,
1,"We want country's leader like you, Mr. Jately, Mr. गडकरी... Strong and wise...  Just take care that till 2019 election, citizens of India should not forget your ( good) works... Some (30%) people always criticize you",,,,,,,,,,,,,,,,,,,,,
1,We want more sir 😃😃,,,,,,,,,,,,,,,,,,,,,
1,Well come to this change,,,,,,,,,,,,,,,,,,,,,
1,Well done,,,,,,,,,,,,,,,,,,,,,
1,Well done modiji,,,,,,,,,,,,,,,,,,,,,
1,well done sir,,,,,,,,,,,,,,,,,,,,,
1,Well done Sir for reviewing the drawbacks and making necessary amendments to benefit the businessmen and to public in general.,,,,,,,,,,,,,,,,,,,,,
1,Well done Sir...  Now Hope to see the cast base reservation system simple as well...,,,,,,,,,,,,,,,,,,,,,
1,Wlcm step,,,,,,,,,,,,,,,,,,,,,
1,Yes good,,,,,,,,,,,,,,,,,,,,,
